QUESTION_ID,FIRST_SUBJECT,SECOND_SUBJECT,THIRD_SUBJECT,VALIDITY
9,Necessidades e recomendações nutricionais nos diferentes ciclos de vida,Rotulagem de alimentos,,True
10,Métodos de avaliação nutricional,Epidemiologia e vigilância alimentar e nutricional,,True
11,Guia alimentar da população brasileira,Técnica dietética e análise sensorial,,True
12,Sistemas alimentares e sustentabilidade,Segurança alimentar e nutricional,Políticas públicas de alimentação e nutrição,True
13,Indicadores de qualidade na produção de refeições,Controle higiênico-sanitário dos alimentos,,True
14,Fisiopatologia e dietoterapia nas diferentes enfermidades,,,False
15,Educação alimentar e nutricional,,,True
16,Planejamento físico e funcional de serviços de alimentação,Controle higiênico-sanitário dos alimentos,,True
17,Triagem e avaliação do estado nutricional nas situações patológicas,,,True
18,Fisiopatologia e dietoterapia nas diferentes enfermidades,Técnica dietética e análise sensorial,,True
19,Planejamento e prescrição de planos alimentares,,,True
20,Rotulagem de alimentos,,,True
21,Controle higiênico-sanitário dos alimentos,,,False
22,Segurança alimentar e nutricional,,,True
23,Bioquímica nutricional,Planejamento e prescrição de planos alimentares,,True
24,Necessidades e recomendações nutricionais nos diferentes ciclos de vida,,,True
25,Técnica dietética e análise sensorial,,,True
26,Planejamento e avaliação de cardápios para coletividades sadias e enfermas,Indicadores de qualidade na produção de refeições,,True
27,Métodos de avaliação nutricional,Necessidades e recomendações nutricionais nos diferentes ciclos de vida,,True
28,Educação alimentar e nutricional,,,True
29,Necessidades e recomendações nutricionais nos diferentes ciclos de vida,Epidemiologia e vigilância alimentar e nutricional,,True
30,Planejamento e avaliação de cardápios para coletividades sadias e enfermas,Guia alimentar da população brasileira,,True
31,Biodisponibilidade de nutrientes e propriedades de compostos bioativos,Fisiopatologia e dietoterapia nas diferentes enfermidades,,True
32,Sistemas alimentares e sustentabilidade,Segurança alimentar e nutricional,,True
33,Biodisponibilidade de nutrientes e propriedades de compostos bioativos,,,False
34,Técnica dietética e análise sensorial,Planejamento e avaliação de cardápios para coletividades sadias e enfermas,,True
35,Fisiopatologia e dietoterapia nas diferentes enfermidades,Planejamento e prescrição de planos alimentares,,True
