CO_IES,NOME
3,Universidade Federal de Sergipe (UFS)
6,Universidade Federal de Ouro Preto (UFOP)
7,Universidade Federal de São Carlos (UFSCAR)
8,Universidade Federal de Viçosa (UFV)
30,Universidade José do Rosário Vellano (UNIFENAS)
140,Universidade de Vassouras
396,Centro Universitário Ruy Barbosa Wyden (UniRuy Wyden)
426,Universidade Franciscana (UFN)
549,Universidade Federal do Acre (UFAC)
583,Universidade Federal do Ceará (UFC)
573,Universidade Federal do Espírito Santo (UFES)
574,Universidade Federal Rural do Rio de Janeiro (UFRRJ)
576,Universidade Federal de Juiz de Fora (UFJF)
577,Universidade Federal de Alagoas (UFAL)
578,Universidade Federal da Bahia (UFBA)
588,Universidade Tecnológica Federal do Paraná (UTFPR)
593,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET/RJ)
595,Universidade Federal de Alfenas (UNIFAL-MG)
598,Universidade Federal de Itajubá (UNIFEI)
664,Universidade Vila Velha (UVV)
688,Universidade Estadual do Sudoeste da Bahia (UESB)
693,Universidade Federal do Estado do Rio de Janeiro (UNIRIO)
694,Universidade Federal de Mato Grosso de Sul (UFMS)
717,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)
1028,Universidade Estadual de Mato Grosso do Sul (UEMS)
1396,Centro Universitário Dinâmica das Cataratas (UDC)
1734,Centro Universitário Facid Wyden (UniFacid Wyden)
2009,Faculdade de Taquaritinga (FTGA)
2184,Faculdade CNEC Gravataí
3368,Centro Universitário do Sul de Minas (UNIS-MG)
3388,Centro Universitário Paraíso
3456,Faculdade Politécnica de Campinas (POLICAMP)
4504,Fundação Universidade Federal da Grande Dourados (UFGD)
15015,Universidade Estadual do Norte do Paraná (UENP)
19512,Centro Universitário Imepac - Araguari
